,Premise 1,Premise 2,Premise 3,Conclusion,Dataset,Human,Overlap (Bhatia),GPT-3.5,GPT-4,SCM (Han)
307,motorcycle,carriage,,bicycle,Bhatia - Exp 3,72.77777778,0.659469403,3.61e-05,85.0,
308,airplane,,,bicycle,Han - Exp 2,22.285714285714285,,0.0,40.0,6.3069444444444445
309,airplane,,,helicopter,Han - Exp 2,77.875,,100.0,70.0,11.140277777777778
310,airplane,,,jeep,Han - Exp 2,34.25,,20.0,40.0,7.006944444444445
311,airplane,,,skateboard,Han - Exp 2,23.1875,,20.0,30.0,6.340277777777779
312,airplane,,,tractor,Han - Exp 2,48.875,,20.0,40.0,6.540277777777778
313,airplane,,,train,Han - Exp 2,38.1,,0.0,60.0,7.840277777777779
314,beaver,,,dog,Han - Exp 2,31.9375,,50.0,65.0,7.520833333333334
315,beaver,,,donkey,Han - Exp 2,29.25,,10.0,55.0,7.152412280701754
316,beaver,,,elephant,Han - Exp 2,34.705882352941174,,10.0,50.0,6.599780701754386
317,beaver,,,giraffe,Han - Exp 2,21.625,,10.0,50.0,6.705043859649123
318,beaver,,,hamster,Han - Exp 2,51.6,,50.0,70.0,8.836622807017545
319,beaver,,,horse,Han - Exp 2,39.888888888888886,,10.0,50.0,7.12609649122807
320,beaver,,,tiger,Han - Exp 2,34.705882352941174,,10.0,50.0,7.2313596491228065
321,bicycle,,,boat,Han - Exp 2,41.75,,0.0,40.0,6.4833333333333325
322,bicycle,,,bus,Han - Exp 2,38.7,,50.0,40.0,7.216666666666667
323,bicycle,,,carriage,Han - Exp 2,52.75,,50.0,65.0,8.116666666666667
324,bicycle,,,rocket,Han - Exp 2,18.5,,10.0,20.0,5.9833333333333325
325,bicycle,,,skateboard,Han - Exp 2,55.0,,80.0,65.0,8.083333333333332
326,bicycle,,,submarine,Han - Exp 2,28.1,,0.0,25.0,5.9833333333333325
327,bicycle,,,tram,Han - Exp 2,33.25,,0.0,40.0,6.9833333333333325
328,bicycle,airplane,,skateboard,Han - Exp 2,44.25,,80.0,60.0,9.219444444444443
329,blackbird,,,canary,Han - Exp 2,57.888888888888886,,80.0,75.0,10.28921568627451
330,blackbird,,,dove,Han - Exp 2,46.11111111111112,,50.0,65.0,10.78921568627451
331,blackbird,,,falcon,Han - Exp 2,42.375,,70.0,70.0,9.083333333333332
332,blackbird,,,magpie,Han - Exp 2,64.55555555555556,,80.0,75.0,11.78921568627451
333,blackbird,,,ostrich,Han - Exp 2,43.4375,,50.0,50.0,7.524509803921568
334,blackbird,,,pelican,Han - Exp 2,53.2,,50.0,55.0,8.142156862745098
335,blackbird,,,rooster,Han - Exp 2,44.9,,80.0,70.0,8.642156862745098
336,blackbird,,,seagull,Han - Exp 2,63.66666666666666,,70.0,70.0,9.553921568627452
337,blackbird,,,sparrow,Han - Exp 2,56.25,,80.0,80.0,11.759803921568627
338,blackbird,,,swallow,Han - Exp 2,59.94117647058823,,80.0,70.0,10.642156862745098
339,boat,,,bus,Han - Exp 2,42.1,,0.0,40.0,7.911111111111111
340,boat,,,trailer,Han - Exp 2,33.88235294117647,,0.0,60.0,7.777777777777777
341,boat,,,car,Han - Exp 2,25.714285714285715,,0.0,60.0,7.0777777777777775
342,boat,,,cart,Han - Exp 2,29.8,,50.0,40.0,6.944444444444445
343,boat,,,hovercraft,Han - Exp 2,53.2,,90.0,70.0,11.044444444444444
344,boat,,,skateboard,Han - Exp 2,29.33333333333333,,20.0,35.0,6.244444444444444
345,boat,,,tractor,Han - Exp 2,33.22222222222222,,10.0,40.0,6.5777777777777775
346,boat,,,tram,Han - Exp 2,42.2,,0.0,40.0,6.511111111111111
347,boat,,,van,Han - Exp 2,40.2,,10.0,40.0,7.011111111111111
348,boat,bicycle,,bus,Han - Exp 2,39.9,,0.0,80.0,8.816666666666666
349,bus,,,airplane,Han - Exp 2,36.142857142857146,,50.0,60.0,9.348611111111111
350,bus,,,boat,Han - Exp 2,46.27777777777778,,10.0,40.0,8.848611111111111
351,bus,,,carriage,Han - Exp 2,43.333333333333336,,80.0,60.0,9.281944444444443
352,bus,,,car,Han - Exp 2,60.3,,90.0,80.0,10.74861111111111
353,bus,,,train,Han - Exp 2,63.2,,80.0,65.0,11.148611111111112
354,bus,,,van,Han - Exp 2,79.4,,90.0,70.0,11.015277777777778
355,bus,,,zeppelin,Han - Exp 2,33.17857142857143,,10.0,35.0,8.415277777777778
356,dromedary,,,cat,Han - Exp 2,29.166666666666668,,10.0,50.0,7.531798245614035
357,dromedary,,,dog,Han - Exp 2,55.7,,20.0,50.0,7.847587719298245
358,dromedary,,,donkey,Han - Exp 2,57.25,,50.0,55.0,9.216008771929824
359,dromedary,,,elephant,Han - Exp 2,57.55555555555556,,10.0,50.0,8.55811403508772
360,dromedary,,,hedgehog,Han - Exp 2,20.625,,10.0,50.0,7.294956140350877
361,dromedary,,,llama,Han - Exp 2,72.57894736842105,,80.0,75.0,10.584429824561404
362,dromedary,,,mouse,Han - Exp 2,37.11111111111112,,10.0,50.0,6.479166666666666
363,dromedary,,,tiger,Han - Exp 2,42.25,,0.0,50.0,7.952850877192983
364,dromedary,beaver,,donkey,Han - Exp 2,59.375,,80.0,70.0,9.93092105263158
365,dromedary,beaver,,elephant,Han - Exp 2,55.333333333333336,,80.0,70.0,9.273026315789473
366,dromedary,beaver,,tiger,Han - Exp 2,53.625,,50.0,65.0,8.667763157894736
367,canary,,,eagle,Han - Exp 2,45.61111111111112,,50.0,65.0,7.400735294117648
368,canary,,,falcon,Han - Exp 2,36.5,,50.0,65.0,7.783088235294118
369,canary,,,ostrich,Han - Exp 2,41.71428571428572,,20.0,65.0,7.194852941176471
370,canary,,,pelican,Han - Exp 2,47.25,,20.0,65.0,7.577205882352942
371,canary,,,stork,Han - Exp 2,45.6,,20.0,55.0,7.430147058823531
372,canary,,,swan,Han - Exp 2,30.5,,50.0,65.0,7.724264705882353
373,canary,blackbird,,ostrich,Han - Exp 2,35.42857142857143,,50.0,70.0,7.855392156862744
374,trailer,,,jeep,Han - Exp 2,50.8,,90.0,60.0,8.280555555555555
375,trailer,,,skateboard,Han - Exp 2,30.25925925925926,,10.0,30.0,6.747222222222222
376,trailer,boat,,skateboard,Han - Exp 2,30.7,,0.0,60.0,7.391666666666666
377,carriage,,,airplane,Han - Exp 2,33.9,,10.0,40.0,7.394444444444444
378,carriage,,,bicycle,Han - Exp 2,56.57142857142857,,0.0,60.0,8.761111111111113
379,carriage,,,boat,Han - Exp 2,28.875,,0.0,40.0,7.961111111111112
380,carriage,,,trailer,Han - Exp 2,53.77777777777778,,100.0,65.0,9.427777777777775
381,carriage,,,cart,Han - Exp 2,63.125,,90.0,80.0,11.86111111111111
382,carriage,,,jeep,Han - Exp 2,48.53333333333333,,80.0,60.0,8.994444444444445
383,carriage,,,motorbike,Han - Exp 2,39.85714285714285,,50.0,40.0,7.761111111111111
384,carriage,,,rocket,Han - Exp 2,24.0,,10.0,25.0,6.627777777777778
385,carriage,,,submarine,Han - Exp 2,31.1,,10.0,30.0,6.761111111111111
386,carriage,,,tractor,Han - Exp 2,43.1,,50.0,60.0,8.761111111111113
387,car,,,trailer,Han - Exp 2,47.142857142857146,,100.0,70.0,9.720833333333331
388,car,,,carriage,Han - Exp 2,66.7,,90.0,65.0,10.220833333333331
389,car,,,jeep,Han - Exp 2,78.5,,100.0,90.0,13.454166666666666
390,car,,,motorbike,Han - Exp 2,57.3,,90.0,70.0,9.2875
391,car,,,sled,Han - Exp 2,30.176470588235293,,10.0,40.0,8.620833333333334
392,car,,,taxi,Han - Exp 2,85.5,,100.0,95.0,13.8875
393,car,,,zeppelin,Han - Exp 2,33.8,,0.0,40.0,7.7541666666666655
394,car,bicycle,,carriage,Han - Exp 2,67.2,,100.0,85.0,10.738888888888887
395,car,bus,,zeppelin,Han - Exp 2,28.3,,80.0,60.0,9.166666666666666
396,car,trailer,,jeep,Han - Exp 2,75.9,,100.0,90.0,13.7375
397,cart,,,trailer,Han - Exp 2,47.48148148148148,,90.0,70.0,9.34722222222222
398,cart,,,carriage,Han - Exp 2,68.3,,90.0,80.0,11.680555555555555
399,cart,,,helicopter,Han - Exp 2,29.444444444444443,,10.0,30.0,6.713888888888889
400,cart,,,jeep,Han - Exp 2,38.3,,80.0,60.0,8.613888888888889
401,cart,,,sled,Han - Exp 2,42.833333333333336,,80.0,65.0,10.01388888888889
402,cart,airplane,,helicopter,Han - Exp 2,74.0,,100.0,80.0,12.45138888888889
403,cart,bicycle,,carriage,Han - Exp 2,71.6,,100.0,85.0,12.270833333333332
404,cart,car,,trailer,Han - Exp 2,61.285714285714285,,100.0,85.0,10.45
405,cat,,,cow,Han - Exp 2,43.61111111111112,,20.0,55.0,7.600877192982455
406,cat,,,lion,Han - Exp 2,74.0,,90.0,90.0,10.285087719298248
407,cat,,,llama,Han - Exp 2,41.8,,20.0,50.0,7.364035087719299
408,cat,,,rabbit,Han - Exp 2,64.25,,20.0,55.0,8.942982456140351
409,cat,,,squirrel,Han - Exp 2,36.1,,20.0,65.0,8.62719298245614
410,cat,,,tiger,Han - Exp 2,76.11111111111111,,90.0,90.0,11.469298245614034
411,chicken,,,blackbird,Han - Exp 2,56.375,,50.0,75.0,8.908088235294116
412,chicken,,,canary,Han - Exp 2,49.285714285714285,,80.0,75.0,8.9375
413,chicken,,,pelican,Han - Exp 2,43.42857142857143,,50.0,65.0,9.231617647058822
414,chicken,,,robin,Han - Exp 2,47.875,,50.0,75.0,8.9375
415,chicken,,,rooster,Han - Exp 2,85.3076923076923,,100.0,95.0,13.525735294117643
416,chicken,,,stork,Han - Exp 2,47.875,,80.0,65.0,8.555147058823529
417,chicken,,,turkey,Han - Exp 2,73.72222222222223,,90.0,80.0,12.996323529411764
418,chicken,,,woodpecker,Han - Exp 2,45.125,,80.0,70.0,8.231617647058822
419,chicken,canary,,stork,Han - Exp 2,57.0,,80.0,70.0,9.21813725490196
420,cow,,,cat,Han - Exp 2,33.4375,,10.0,50.0,7.575657894736842
421,cow,,,donkey,Han - Exp 2,52.75,,70.0,65.0,9.865131578947368
422,cow,,,hippopotamus,Han - Exp 2,53.44444444444444,,80.0,55.0,9.549342105263158
423,cow,,,llama,Han - Exp 2,47.22222222222222,,80.0,65.0,9.12828947368421
424,cow,,,mouse,Han - Exp 2,27.526315789473685,,10.0,55.0,6.996710526315789
425,cow,,,rhinoceros,Han - Exp 2,59.333333333333336,,50.0,55.0,9.049342105263158
426,cow,beaver,,donkey,Han - Exp 2,52.0,,80.0,70.0,10.588815789473683
427,crow,,,peacock,Han - Exp 2,45.44444444444444,,50.0,65.0,8.662990196078432
428,crow,,,pelican,Han - Exp 2,44.41176470588236,,50.0,65.0,8.868872549019608
429,crow,,,robin,Han - Exp 2,68.0,,50.0,75.0,8.39828431372549
430,crow,,,swan,Han - Exp 2,32.6,,50.0,65.0,8.310049019607844
431,crow,,,woodpecker,Han - Exp 2,57.5,,50.0,65.0,11.221813725490197
432,crow,blackbird,,pelican,Han - Exp 2,46.3,,80.0,70.0,9.435049019607844
433,crow,chicken,,woodpecker,Han - Exp 2,69.125,,90.0,85.0,12.133578431372548
434,deer,,,donkey,Han - Exp 2,59.0,,50.0,55.0,9.839912280701755
435,deer,,,fox,Han - Exp 2,50.61111111111112,,50.0,55.0,8.892543859649123
436,deer,,,hedgehog,Han - Exp 2,33.25,,50.0,55.0,7.471491228070176
437,deer,,,hippopotamus,Han - Exp 2,48.0,,20.0,50.0,8.260964912280702
438,deer,,,lion,Han - Exp 2,37.75,,10.0,50.0,8.260964912280702
439,deer,,,rhinoceros,Han - Exp 2,53.333333333333336,,50.0,50.0,8.49780701754386
440,deer,,,squirrel,Han - Exp 2,32.8235294117647,,50.0,55.0,7.971491228070175
441,deer,,,zebra,Han - Exp 2,75.0,,50.0,65.0,9.471491228070176
442,dog,,,cat,Han - Exp 2,54.70588235294117,,80.0,75.0,10.366228070175438
443,dog,,,fox,Han - Exp 2,70.1,,80.0,90.0,10.68201754385965
444,dog,,,rabbit,Han - Exp 2,29.5,,20.0,55.0,8.971491228070175
445,dog,cow,,cat,Han - Exp 2,64.125,,90.0,85.0,11.150219298245611
446,donkey,,,horse,Han - Exp 2,78.26923076923077,,90.0,90.0,12.776315789473683
447,donkey,,,llama,Han - Exp 2,56.0,,70.0,55.0,10.223684210526317
448,donkey,,,zebra,Han - Exp 2,70.26923076923077,,80.0,80.0,10.828947368421051
449,dove,,,duck,Han - Exp 2,51.375,,50.0,70.0,10.389705882352942
450,dove,,,peacock,Han - Exp 2,31.625,,50.0,70.0,9.742647058823527
451,dove,,,robin,Han - Exp 2,56.25,,70.0,75.0,10.713235294117649
452,dove,,,stork,Han - Exp 2,49.35294117647059,,80.0,65.0,8.977941176470587
453,dove,,,swallow,Han - Exp 2,56.55555555555556,,70.0,70.0,10.448529411764708
454,duck,,,chicken,Han - Exp 2,65.62962962962963,,80.0,75.0,10.85416666666667
455,duck,,,eagle,Han - Exp 2,25.125,,50.0,70.0,8.060049019607844
456,duck,,,magpie,Han - Exp 2,43.44444444444444,,50.0,70.0,8.618872549019608
457,duck,,,pelican,Han - Exp 2,55.76923076923077,,80.0,75.0,9.64828431372549
458,duck,,,seagull,Han - Exp 2,54.333333333333336,,70.0,75.0,8.883578431372548
459,duck,,,sparrow,Han - Exp 2,52.66666666666666,,20.0,75.0,8.177696078431373
460,duck,,,stork,Han - Exp 2,66.375,,80.0,65.0,8.354166666666668
461,duck,,,turkey,Han - Exp 2,60.44,,50.0,70.0,11.14828431372549
462,duck,blackbird,,seagull,Han - Exp 2,71.11111111111111,,80.0,85.0,10.448529411764708
463,eagle,,,blackbird,Han - Exp 2,51.625,,50.0,70.0,7.681372549019608
464,eagle,,,canary,Han - Exp 2,35.75,,20.0,75.0,7.504901960784314
465,eagle,,,falcon,Han - Exp 2,76.72222222222223,,80.0,90.0,12.151960784313726
466,eagle,,,magpie,Han - Exp 2,46.0,,50.0,75.0,8.71078431372549
467,eagle,,,robin,Han - Exp 2,48.44444444444444,,20.0,75.0,7.740196078431372
468,eagle,,,turkey,Han - Exp 2,52.75,,70.0,65.0,8.32843137254902
469,eagle,,,vulture,Han - Exp 2,64.46666666666667,,80.0,75.0,11.916666666666668
470,eagle,blackbird,,falcon,Han - Exp 2,70.125,,90.0,85.0,13.272058823529411
471,eagle,blackbird,,magpie,Han - Exp 2,62.66666666666666,,90.0,85.0,12.654411764705882
472,eagle,crow,,robin,Han - Exp 2,63.333333333333336,,80.0,85.0,8.863970588235293
473,elephant,,,hamster,Han - Exp 2,25.875,,10.0,50.0,6.5548245614035086
474,elephant,,,hedgehog,Han - Exp 2,34.333333333333336,,10.0,50.0,7.00219298245614
475,elephant,,,horse,Han - Exp 2,41.5625,,50.0,65.0,8.449561403508772
476,elephant,,,mouse,Han - Exp 2,16.75,,10.0,50.0,6.423245614035087
477,elephant,,,squirrel,Han - Exp 2,26.0,,10.0,50.0,6.475877192982456
478,elephant,,,wolf,Han - Exp 2,45.89473684210526,,10.0,50.0,7.528508771929824
479,elephant,donkey,,horse,Han - Exp 2,56.0,,100.0,85.0,13.206140350877192
480,falcon,,,canary,Han - Exp 2,44.75,,20.0,70.0,8.176470588235293
481,falcon,,,heron,Han - Exp 2,65.55555555555556,,20.0,65.0,10.323529411764708
482,falcon,,,robin,Han - Exp 2,54.11111111111112,,50.0,70.0,8.294117647058822
483,falcon,,,sparrow,Han - Exp 2,46.25,,80.0,75.0,9.264705882352942
484,falcon,,,swan,Han - Exp 2,32.42857142857143,,50.0,65.0,8.264705882352942
485,fox,,,cow,Han - Exp 2,36.92307692307692,,10.0,50.0,7.929824561403507
486,fox,,,hippopotamus,Han - Exp 2,44.1,,10.0,50.0,7.692982456140351
487,fox,,,tiger,Han - Exp 2,45.833333333333336,,50.0,65.0,9.192982456140353
488,fox,,,wolf,Han - Exp 2,75.55555555555556,,80.0,90.0,11.298245614035087
489,fox,cat,,cow,Han - Exp 2,43.0,,50.0,60.0,8.398026315789474
490,fox,deer,,hippopotamus,Han - Exp 2,56.5,,50.0,60.0,8.930921052631579
491,giraffe,,,cat,Han - Exp 2,22.4,,10.0,50.0,6.9298245614035086
492,giraffe,,,elephant,Han - Exp 2,42.5,,10.0,55.0,9.008771929824562
493,giraffe,,,fox,Han - Exp 2,40.61111111111112,,10.0,50.0,7.403508771929824
494,giraffe,,,hamster,Han - Exp 2,23.875,,10.0,50.0,6.456140350877193
495,giraffe,,,llama,Han - Exp 2,64.44444444444444,,50.0,55.0,9.56140350877193
496,giraffe,,,mouse,Han - Exp 2,33.411764705882355,,10.0,50.0,6.508771929824562
497,giraffe,dromedary,,cat,Han - Exp 2,36.8,,20.0,60.0,7.8826754385964914
498,giraffe,cow,,llama,Han - Exp 2,69.44444444444444,,80.0,70.0,10.138157894736842
499,giraffe,dog,,fox,Han - Exp 2,65.4,,80.0,85.0,11.354166666666668
500,giraffe,elephant,,hamster,Han - Exp 2,24.25,,0.0,40.0,7.033991228070176
501,hamster,,,cat,Han - Exp 2,42.55555555555556,,20.0,65.0,8.456140350877192
502,hamster,,,donkey,Han - Exp 2,45.6,,0.0,50.0,6.4561403508771935
503,hamster,,,fox,Han - Exp 2,35.75,,20.0,65.0,7.482456140350877
504,hamster,,,giraffe,Han - Exp 2,26.03703703703704,,10.0,50.0,6.271929824561402
505,hamster,,,hedgehog,Han - Exp 2,69.875,,50.0,55.0,8.692982456140351
506,hamster,,,lion,Han - Exp 2,34.4,,10.0,50.0,6.771929824561402
507,hamster,,,llama,Han - Exp 2,42.94736842105263,,10.0,50.0,7.008771929824561
508,hamster,,,mouse,Han - Exp 2,85.625,,80.0,80.0,10.64035087719298
509,hamster,,,rabbit,Han - Exp 2,68.125,,50.0,65.0,10.350877192982455
510,hamster,,,squirrel,Han - Exp 2,59.888888888888886,,70.0,75.0,10.035087719298245
511,hamster,,,zebra,Han - Exp 2,19.5,,10.0,50.0,7.035087719298245
512,hamster,dromedary,,hedgehog,Han - Exp 2,50.5,,80.0,70.0,9.986842105263158
513,hamster,cat,,rabbit,Han - Exp 2,77.5,,80.0,85.0,11.332236842105264
514,hamster,deer,,squirrel,Han - Exp 2,62.22222222222222,,80.0,85.0,11.384868421052632
515,hamster,donkey,,llama,Han - Exp 2,58.888888888888886,,75.0,70.0,11.115131578947368
516,hamster,donkey,,zebra,Han - Exp 2,67.2,,80.0,70.0,11.720394736842106
517,hamster,elephant,,mouse,Han - Exp 2,65.75,,80.0,85.0,11.850877192982455
518,hamster,giraffe,,fox,Han - Exp 2,58.5,,50.0,70.0,8.744517543859649
519,hedgehog,,,donkey,Han - Exp 2,42.0,,10.0,50.0,6.821271929824562
520,hedgehog,,,elephant,Han - Exp 2,35.0,,10.0,50.0,6.584429824561404
521,hedgehog,,,rhinoceros,Han - Exp 2,35.0,,20.0,50.0,6.68969298245614
522,hedgehog,,,wolf,Han - Exp 2,38.55555555555556,,10.0,50.0,6.347587719298246
523,hedgehog,,,zebra,Han - Exp 2,31.125,,0.0,50.0,6.452850877192983
524,hedgehog,beaver,,elephant,Han - Exp 2,38.25,,10.0,70.0,7.178728070175439
525,hedgehog,hamster,,donkey,Han - Exp 2,40.8,,50.0,60.0,7.451754385964913
526,helicopter,,,airplane,Han - Exp 2,71.3,,80.0,80.0,10.727777777777778
527,helicopter,,,bicycle,Han - Exp 2,24.4,,0.0,35.0,5.927777777777777
528,helicopter,,,boat,Han - Exp 2,46.75,,0.0,40.0,5.994444444444444
529,helicopter,,,jeep,Han - Exp 2,30.6,,0.0,40.0,6.394444444444444
530,helicopter,,,rocket,Han - Exp 2,47.8,,20.0,60.0,7.627777777777778
531,helicopter,,,skateboard,Han - Exp 2,27.875,,10.0,25.0,5.661111111111111
532,helicopter,,,sled,Han - Exp 2,28.16,,0.0,30.0,5.861111111111111
533,helicopter,,,tram,Han - Exp 2,38.27777777777778,,0.0,40.0,6.361111111111111
534,helicopter,,,zeppelin,Han - Exp 2,53.1,,0.0,60.0,9.06111111111111
535,helicopter,bus,,boat,Han - Exp 2,63.75,,50.0,80.0,9.3625
536,helicopter,carriage,,airplane,Han - Exp 2,61.6,,80.0,80.0,12.343055555555557
537,helicopter,car,,sled,Han - Exp 2,25.714285714285715,,0.0,60.0,9.268055555555556
538,heron,,,crow,Han - Exp 2,53.21052631578947,,50.0,65.0,10.290441176470589
539,heron,,,dove,Han - Exp 2,53.76470588235294,,50.0,65.0,8.849264705882353
540,heron,,,ostrich,Han - Exp 2,56.88235294117647,,20.0,55.0,9.966911764705882
541,heron,,,peacock,Han - Exp 2,52.75,,20.0,65.0,9.672794117647058
542,heron,,,sparrow,Han - Exp 2,43.75,,20.0,70.0,8.819852941176471
543,heron,,,stork,Han - Exp 2,68.72222222222223,,90.0,75.0,12.4375
544,heron,blackbird,,dove,Han - Exp 2,67.22222222222223,,80.0,85.0,11.865196078431373
545,heron,dove,,stork,Han - Exp 2,69.77777777777777,,90.0,85.0,13.34436274509804
546,hippopotamus,,,beaver,Han - Exp 2,38.55555555555556,,20.0,65.0,7.512061403508771
547,hippopotamus,,,cow,Han - Exp 2,52.73333333333333,,80.0,75.0,9.459429824561404
548,hippopotamus,,,deer,Han - Exp 2,37.44444444444444,,50.0,65.0,8.038377192982455
549,hippopotamus,,,dog,Han - Exp 2,44.11111111111112,,20.0,55.0,7.854166666666667
550,hippopotamus,,,donkey,Han - Exp 2,37.2,,50.0,50.0,7.959429824561404
551,hippopotamus,,,mouse,Han - Exp 2,20.666666666666668,,10.0,50.0,6.827850877192983
552,hippopotamus,,,rabbit,Han - Exp 2,33.888888888888886,,10.0,50.0,6.959429824561404
553,hippopotamus,,,rhinoceros,Han - Exp 2,72.23529411764706,,80.0,75.0,10.959429824561404
554,hippopotamus,,,tiger,Han - Exp 2,36.96,,20.0,50.0,8.801535087719298
555,hippopotamus,,,zebra,Han - Exp 2,47.25,,20.0,55.0,9.354166666666668
556,hippopotamus,cat,,cow,Han - Exp 2,77.0,,80.0,85.0,10.56030701754386
557,hippopotamus,cat,,tiger,Han - Exp 2,60.44444444444444,,80.0,85.0,12.455043859649123
558,hippopotamus,giraffe,,mouse,Han - Exp 2,35.875,,10.0,60.0,7.245614035087719
559,hippopotamus,hedgehog,,zebra,Han - Exp 2,58.375,,50.0,65.0,10.06688596491228
560,horse,,,cat,Han - Exp 2,36.4375,,10.0,50.0,8.205043859649123
561,horse,,,cow,Han - Exp 2,55.61111111111112,,80.0,75.0,10.31030701754386
562,horse,,,donkey,Han - Exp 2,83.82758620689656,,90.0,90.0,12.94188596491228
563,horse,,,fox,Han - Exp 2,47.875,,20.0,50.0,8.547149122807017
564,horse,,,hedgehog,Han - Exp 2,21.25,,10.0,50.0,7.599780701754385
565,horse,,,tiger,Han - Exp 2,42.44444444444444,,10.0,50.0,8.81030701754386
566,horse,,,zebra,Han - Exp 2,87.375,,90.0,90.0,12.231359649122806
567,horse,beaver,,tiger,Han - Exp 2,62.888888888888886,,50.0,70.0,9.455043859649123
568,horse,dromedary,,cat,Han - Exp 2,37.125,,10.0,60.0,8.448464912280702
569,horse,deer,,donkey,Han - Exp 2,77.1,,100.0,85.0,13.269736842105264
570,horse,deer,,zebra,Han - Exp 2,85.125,,100.0,90.0,12.55921052631579
571,horse,hippopotamus,,cow,Han - Exp 2,70.6,,90.0,85.0,10.707236842105264
572,horse,hippopotamus,,donkey,Han - Exp 2,78.1,,100.0,85.0,13.33881578947368
573,hovercraft,,,bicycle,Han - Exp 2,32.2,,0.0,40.0,5.506944444444445
574,hovercraft,,,boat,Han - Exp 2,65.125,,50.0,65.0,10.806944444444444
575,hovercraft,,,motorbike,Han - Exp 2,29.75,,0.0,40.0,6.1402777777777775
576,hovercraft,,,rocket,Han - Exp 2,32.1,,20.0,40.0,6.840277777777777
577,hovercraft,,,tractor,Han - Exp 2,24.166666666666668,,0.0,40.0,6.240277777777778
578,hovercraft,,,van,Han - Exp 2,32.2,,50.0,40.0,5.873611111111112
579,hovercraft,carriage,,boat,Han - Exp 2,61.0,,50.0,80.0,12.365277777777775
580,hovercraft,helicopter,,bicycle,Han - Exp 2,36.2,,0.0,40.0,6.618055555555555
581,hovercraft,helicopter,,rocket,Han - Exp 2,69.0,,50.0,80.0,8.318055555555556
582,jeep,,,car,Han - Exp 2,81.6,,100.0,85.0,12.945833333333333
583,jeep,,,helicopter,Han - Exp 2,28.2,,0.0,30.0,7.279166666666667
584,jeep,,,motorbike,Han - Exp 2,50.4,,50.0,40.0,8.2125
585,jeep,,,rocket,Han - Exp 2,24.2,,10.0,20.0,6.812500000000002
586,jeep,,,submarine,Han - Exp 2,20.9,,0.0,25.0,7.279166666666667
587,jeep,,,tractor,Han - Exp 2,55.44,,50.0,60.0,9.9125
588,jeep,airplane,,tractor,Han - Exp 2,74.625,,50.0,60.0,10.793055555555554
589,jeep,boat,,car,Han - Exp 2,68.28571428571429,,100.0,90.0,13.666666666666666
590,lion,,,cat,Han - Exp 2,75.72222222222223,,100.0,90.0,10.423245614035087
591,lion,,,dog,Han - Exp 2,47.333333333333336,,50.0,70.0,9.081140350877192
592,lion,,,hedgehog,Han - Exp 2,23.9375,,10.0,50.0,7.160087719298245
593,lion,,,hippopotamus,Han - Exp 2,38.125,,20.0,50.0,8.923245614035087
594,lion,,,rhinoceros,Han - Exp 2,47.0,,20.0,50.0,8.765350877192983
595,lion,,,squirrel,Han - Exp 2,14.9,,10.0,50.0,7.317982456140351
596,lion,cow,,hippopotamus,Han - Exp 2,70.625,,80.0,85.0,10.30043859649123
597,lion,cow,,rhinoceros,Han - Exp 2,71.33333333333333,,80.0,70.0,9.80043859649123
598,lion,hedgehog,,rhinoceros,Han - Exp 2,53.125,,80.0,70.0,9.400219298245611
599,lion,hippopotamus,,rhinoceros,Han - Exp 2,76.5,,80.0,85.0,11.731359649122808
600,lion,horse,,hedgehog,Han - Exp 2,33.625,,50.0,70.0,8.208333333333334
601,llama,,,cat,Han - Exp 2,31.294117647058822,,10.0,50.0,7.643640350877194
602,llama,,,dog,Han - Exp 2,41.61538461538461,,50.0,50.0,8.669956140350877
603,llama,,,giraffe,Han - Exp 2,54.75,,20.0,55.0,10.06469298245614
604,llama,,,hamster,Han - Exp 2,30.9,,20.0,50.0,7.696271929824562
605,llama,,,horse,Han - Exp 2,70.16666666666667,,70.0,65.0,10.591008771929824
606,llama,,,squirrel,Han - Exp 2,24.0,,10.0,50.0,7.959429824561403
607,llama,,,tiger,Han - Exp 2,34.111111111111114,,10.0,50.0,9.538377192982455
608,llama,,,zebra,Han - Exp 2,65.66666666666667,,20.0,55.0,9.93311403508772
609,llama,beaver,,dog,Han - Exp 2,57.25,,80.0,70.0,9.290570175438596
610,llama,beaver,,hamster,Han - Exp 2,52.0,,80.0,70.0,10.158991228070176
611,llama,donkey,,horse,Han - Exp 2,83.9,,100.0,85.0,13.24232456140351
612,llama,elephant,,squirrel,Han - Exp 2,30.3,,10.0,60.0,8.349780701754387
613,llama,fox,,tiger,Han - Exp 2,44.44444444444444,,50.0,70.0,10.24780701754386
614,llama,hamster,,giraffe,Han - Exp 2,62.625,,50.0,70.0,10.966008771929824
615,llama,lion,,cat,Han - Exp 2,69.77777777777777,,80.0,70.0,11.18969298245614
616,magpie,,,blackbird,Han - Exp 2,68.61111111111111,,70.0,75.0,12.051470588235292
617,magpie,,,chicken,Han - Exp 2,40.625,,50.0,65.0,9.227941176470589
618,magpie,,,crow,Han - Exp 2,68.2,,80.0,90.0,12.463235294117649
619,magpie,,,duck,Han - Exp 2,54.388888888888886,,10.0,65.0,9.051470588235292
620,magpie,,,falcon,Han - Exp 2,48.888888888888886,,50.0,70.0,9.639705882352942
621,magpie,,,stork,Han - Exp 2,58.333333333333336,,20.0,65.0,8.463235294117649
