,Premise 1,Premise 2,Premise 3,Conclusion,Argument Group,Phenomenon,Dataset,GPT-3.5,GPT-4
1105,lion,chisel,,hippopotamus,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,50.0,50.0
1106,dragonfly,,,fruit fly,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,90.0,70.0
1107,dragonfly,triangle,,fruit fly,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,50.0,45.0
1108,boa,,,turtle,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,10.0,40.0
1109,boa,swan,,turtle,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,50.0,60.0
1110,snake,,,iguana,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,60.0,65.0
1111,snake,hedgehog,,iguana,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,100.0,65.0
1112,sieve,,,microwave oven,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,10.0,20.0
1113,sieve,kangaroo,,microwave oven,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,5.0,20.0
1114,plane,,,nail,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,5.0,20.0
1115,plane,zebra,,nail,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,50.0,30.0
1116,apron,,,glass,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,10.0,20.0
1117,apron,train,,glass,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,5.0,25.0
1118,jeans,,,scarf,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,20.0,30.0
1119,jeans,zebra,,scarf,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,50.0,45.0
1120,trumpet,,,double bass,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,60.0,30.0
1121,trumpet,toad,,double bass,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,50.0,45.0
1122,file,,,pickaxe,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,90.0,40.0
1123,file,grater,,pickaxe,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,90.0,60.0
1124,hammer,,,wrench,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,20.0,70.0
1125,hammer,anchovy,,wrench,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,50.0,65.0
1126,dragonfly,,,fly,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,90.0,70.0
1127,dragonfly,skateboard,,fly,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,100.0,65.0
1128,grenade,,,dagger,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,10.0,30.0
1129,grenade,goldfish,,dagger,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,50.0,40.0
1130,sheep,,,hippopotamus,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,10.0,30.0
1131,sheep,snake,,hippopotamus,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,50.0,65.0
1132,viper,,,salamander,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,10.0,45.0
1133,viper,beanie,,salamander,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,50.0,65.0
1134,nutcracker,,,plate,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,10.0,20.0
1135,nutcracker,shield,,plate,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,5.0,60.0
1136,snake,,,python,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,100.0,95.0
1137,snake,can opener,,python,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,100.0,95.0
1138,seagull,,,ostrich,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,10.0,70.0
1139,seagull,tortoise,,ostrich,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,100.0,65.0
1140,screwdriver,,,drill,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,90.0,70.0
1141,screwdriver,jeans,,drill,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,50.0,60.0
1142,chickadee,,,parakeet,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,60.0,85.0
1143,chickadee,boots,,parakeet,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,50.0,70.0
1144,whip,,,machine gun,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,10.0,20.0
1145,whip,goldfish,,machine gun,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,5.0,20.0
1146,bass guitar,,,harp,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,60.0,40.0
1147,bass guitar,grenade,,harp,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,10.0,40.0
1148,wrench,,,screwdriver,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,90.0,70.0
1149,wrench,butterfly,,screwdriver,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,50.0,45.0
1150,orca,,,flatfish,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,5.0,30.0
1151,orca,nutcracker,,flatfish,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,100.0,60.0
1152,shovel,,,wire brush,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,60.0,30.0
1153,shovel,towel,,wire brush,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,50.0,45.0
1154,synthesizer,,,cello,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,10.0,40.0
1155,synthesizer,helicopter,,cello,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,5.0,30.0
1156,colander,,,scales,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,10.0,40.0
1157,colander,tambourine,,scales,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,0.0,40.0
1158,worm,,,wood louse,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,90.0,65.0
1159,worm,nutcracker,,wood louse,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,100.0,60.0
1160,stork,,,rooster,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,5.0,65.0
1161,stork,bat,,rooster,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,0.0,45.0
1162,microwave oven,,,pot,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,60.0,60.0
1163,microwave oven,motorcycle,,pot,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,5.0,30.0
1164,anchovy,,,pike,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,10.0,70.0
1165,anchovy,earwig,,pike,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,100.0,50.0
1166,whisk,,,bowl,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,60.0,40.0
1167,whisk,moth,,bowl,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,50.0,30.0
1168,filling knife,,,drill,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,10.0,30.0
1169,filling knife,magpie,,drill,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,5.0,35.0
1170,pan,,,place mat,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,90.0,30.0
1171,pan,caiman,,place mat,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,100.0,30.0
1172,belt,,,pyjamas,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,60.0,30.0
1173,belt,chicken,,pyjamas,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,50.0,30.0
1174,vulture,,,eagle,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,60.0,85.0
1175,vulture,nail,,eagle,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,50.0,50.0
1176,pickaxe,,,file,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,90.0,40.0
1177,pickaxe,tram,,file,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,50.0,30.0
1178,axe,,,hammer,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,10.0,85.0
1179,axe,beanie,,hammer,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,50.0,60.0
1180,plate,,,bottle,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,30.0,40.0
1181,plate,whale,,bottle,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,50.0,45.0
1182,mittens,,,coat,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,90.0,65.0
1183,mittens,snake,,coat,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,50.0,60.0
1184,hat,,,hat,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,100.0,100.0
1185,hat,monitor lizard,,hat,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,100.0,100.0
1186,robin,,,parrot,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,90.0,85.0
1187,robin,shield,,parrot,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,50.0,65.0
1188,bowl,,,scissors,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,10.0,25.0
1189,bowl,skateboard,,scissors,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,10.0,30.0
1190,falcon,,,crow,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,20.0,85.0
1191,falcon,maybug,,crow,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,50.0,85.0
1192,trailer,,,bicycle,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,10.0,25.0
1193,trailer,electric kettle,,bicycle,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,0.0,30.0
1194,dress,,,shirt,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,90.0,85.0
1195,dress,helicopter,,shirt,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,90.0,30.0
1196,nail,,,saw,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,10.0,60.0
1197,nail,cricket,,saw,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,50.0,40.0
1198,seagull,,,blackbird,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,60.0,70.0
1199,seagull,wasp,,blackbird,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,100.0,70.0
1200,squirrel,,,tiger,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,20.0,60.0
1201,squirrel,double barrelled shotgun,,tiger,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,50.0,30.0
1202,trumpet,,,pan flute,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,10.0,60.0
1203,trumpet,giraffe,,pan flute,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,50.0,60.0
1204,filling knife,,,tongs,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,90.0,35.0
1205,filling knife,jeans,,tongs,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,50.0,35.0
1206,monkey,,,beaver,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,10.0,45.0
1207,monkey,nutcracker,,beaver,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,50.0,65.0
1208,go-cart,,,sled,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,10.0,60.0
1209,go-cart,pyjamas,,sled,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,0.0,45.0
1210,hammer,,,rope,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,10.0,25.0
1211,hammer,trombone,,rope,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,5.0,25.0
1212,bus,,,hovercraft,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,90.0,45.0
1213,bus,ant,,hovercraft,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,50.0,45.0
1214,cow,,,bat,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,10.0,30.0
1215,cow,plane,,bat,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,50.0,45.0
1216,adjustable spanner,,,screwdriver,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,60.0,60.0
1217,adjustable spanner,club,,screwdriver,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,50.0,70.0
1218,adjustable spanner,,,shovel,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,10.0,40.0
1219,adjustable spanner,coat,,shovel,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,10.0,45.0
1220,squirrel,,,monkey,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,20.0,65.0
1221,squirrel,blackbird,,monkey,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,5.0,70.0
1222,heron,,,woodpecker,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,10.0,65.0
1223,heron,knuckle dusters,,woodpecker,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,100.0,45.0
1224,submarine,,,car,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,5.0,30.0
1225,submarine,donkey,,car,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,10.0,45.0
1226,rabbit,,,rabbit,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,100.0,100.0
1227,rabbit,rope,,rabbit,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,100.0,100.0
1228,beanie,,,belt,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,10.0,30.0
1229,beanie,pistol,,belt,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,10.0,30.0
1230,sole,,,flatfish,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,95.0,95.0
1231,sole,toaster,,flatfish,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,100.0,50.0
1232,grasshopper,,,louse,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,10.0,60.0
1233,grasshopper,motorbike,,louse,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,50.0,30.0
1234,cockroach,,,dragonfly,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,60.0,65.0
1235,cockroach,cap,,dragonfly,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,100.0,45.0
1236,hammer,,,anvil,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,10.0,65.0
1237,hammer,crow,,anvil,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,50.0,60.0
1238,whip,,,dagger,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,60.0,30.0
1239,whip,cricket,,dagger,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,50.0,30.0
1240,pike,,,piranha,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,90.0,65.0
1241,pike,knuckle dusters,,piranha,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,100.0,60.0
1242,alligator,,,monitor lizard,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,90.0,65.0
1243,alligator,dagger,,monitor lizard,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,100.0,85.0
1244,machine gun,,,tank,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,90.0,70.0
1245,machine gun,maybug,,tank,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,50.0,60.0
1246,t-shirt,,,skirt,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,90.0,65.0
1247,t-shirt,vacuum cleaner,,skirt,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,50.0,60.0
1248,vacuum cleaner,,,shovel,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,10.0,25.0
1249,vacuum cleaner,piano,,shovel,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,10.0,30.0
1250,panties,,,boots,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,10.0,20.0
1251,panties,bumblebee,,boots,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,50.0,20.0
1252,horse,,,dog,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,10.0,65.0
1253,horse,filling knife,,dog,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,50.0,50.0
1254,filling knife,,,screwdriver,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,10.0,60.0
1255,filling knife,pyjamas,,screwdriver,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,0.0,30.0
1256,herring,,,orca,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,90.0,30.0
1257,herring,banjo,,orca,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,10.0,50.0
1258,kick scooter,,,taxi,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,10.0,30.0
1259,kick scooter,cow,,taxi,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,5.0,30.0
1260,caterpillar,,,worm,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,90.0,65.0
1261,caterpillar,zebra,,worm,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,50.0,65.0
1262,eagle,,,pheasant,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,90.0,70.0
1263,eagle,double barrelled shotgun,,pheasant,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,100.0,55.0
1264,electric kettle,,,grater,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,10.0,30.0
1265,electric kettle,slingshot,,grater,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,50.0,45.0
1266,penguin,,,blackbird,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,10.0,60.0
1267,penguin,cockroach,,blackbird,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,100.0,60.0
1268,grenade,,,machine gun,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,5.0,40.0
1269,grenade,horsefly,,machine gun,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,10.0,30.0
1270,bassoon,,,pan flute,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,10.0,40.0
1271,bassoon,rope,,pan flute,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,0.0,60.0
1272,recorder,,,bassoon,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,90.0,70.0
1273,recorder,hovercraft,,bassoon,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,100.0,65.0
1274,car,,,taxi,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,100.0,95.0
1275,car,cat,,taxi,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,50.0,90.0
1276,cap,,,beanie,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,90.0,85.0
1277,cap,canary,,beanie,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,100.0,65.0
1278,dolphin,,,trout,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,10.0,50.0
1279,dolphin,cricket,,trout,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,50.0,60.0
1280,lion,,,llama,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,10.0,45.0
1281,lion,plate,,llama,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,50.0,50.0
1282,seagull,,,rooster,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,10.0,70.0
1283,seagull,t-shirt,,rooster,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,50.0,45.0
1284,earwig,,,moth,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,10.0,45.0
1285,earwig,monitor lizard,,moth,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,0.0,45.0
1286,stick,,,double barrelled shotgun,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,5.0,20.0
1287,stick,toad,,double barrelled shotgun,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,50.0,20.0
1288,scarf,,,panties,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,10.0,30.0
1289,scarf,grinding disc,,panties,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,5.0,25.0
1290,mixer,,,towel,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,10.0,20.0
1291,mixer,cello,,towel,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,10.0,30.0
1292,drill,,,vacuum cleaner,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,10.0,60.0
1293,drill,hippopotamus,,vacuum cleaner,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,50.0,45.0
1294,monitor lizard,,,gecko,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,60.0,70.0
1295,monitor lizard,donkey,,gecko,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,50.0,65.0
1296,stick,,,pistol,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,10.0,20.0
1297,stick,louse,,pistol,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,10.0,20.0
1298,banjo,,,drum,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,20.0,50.0
1299,banjo,zebra,,drum,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,50.0,40.0
1300,jeans,,,suit,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,60.0,40.0
1301,jeans,anchovy,,suit,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,50.0,30.0
1302,worm,,,horsefly,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,50.0,60.0
1303,worm,wrench,,horsefly,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,0.0,45.0
1304,bowl,,,whisk,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,10.0,30.0
1305,bowl,parrot,,whisk,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,50.0,30.0
1306,moth,,,moth,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,100.0,100.0
1307,moth,bison,,moth,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,100.0,100.0
1308,beanie,,,jeans,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,10.0,40.0
1309,beanie,dinosaur,,jeans,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,50.0,30.0
1310,cart,,,carriage,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,90.0,85.0
1311,cart,dog,,carriage,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,50.0,65.0
1312,gecko,,,alligator,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,10.0,40.0
1313,gecko,mittens,,alligator,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,100.0,45.0
1314,clarinet,,,banjo,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,20.0,30.0
1315,clarinet,slingshot,,banjo,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,100.0,45.0
1316,bison,,,mouse,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,10.0,50.0
1317,bison,oven,,mouse,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,5.0,50.0
1318,dolphin,,,salmon,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,60.0,50.0
1319,dolphin,tambourine,,salmon,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,50.0,45.0
1320,cat,,,donkey,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,10.0,45.0
1321,cat,iguana,,donkey,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,100.0,65.0
1322,level,,,axe,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,5.0,30.0
1323,level,cobra,,axe,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,50.0,30.0
1324,sole,,,piranha,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,10.0,60.0
1325,sole,duck,,piranha,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,100.0,65.0
1326,sheep,,,dromedary,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,50.0,45.0
1327,sheep,duck,,dromedary,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,100.0,65.0
1328,screwdriver,,,level,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,10.0,70.0
1329,screwdriver,sieve,,level,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,5.0,65.0
1330,violin,,,trumpet,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,10.0,40.0
1331,violin,sled,,trumpet,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,0.0,40.0
1332,adjustable spanner,,,screwdriver,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,60.0,65.0
1333,adjustable spanner,cello,,screwdriver,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,5.0,45.0
1334,submarine,,,motorcycle,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,5.0,20.0
1335,submarine,squid,,motorcycle,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,5.0,10.0
1336,bassoon,,,harmonica,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,20.0,30.0
1337,bassoon,sheep,,harmonica,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,5.0,30.0
1338,magpie,,,dove,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,20.0,70.0
1339,magpie,lawn mower,,dove,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,50.0,50.0
1340,harmonica,,,cymbals,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,10.0,30.0
1341,harmonica,sieve,,cymbals,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,0.0,30.0
1342,kettle,,,electric kettle,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,100.0,95.0
1343,kettle,harp,,electric kettle,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,100.0,70.0
1344,harpsichord,,,drum set,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,10.0,30.0
1345,harpsichord,mosquito,,drum set,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,50.0,40.0
1346,plaice,,,pike,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,60.0,70.0
1347,plaice,t-shirt,,pike,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,50.0,50.0
1348,centipede,,,bee,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,10.0,65.0
1349,centipede,harpsichord,,bee,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,50.0,50.0
1350,t-shirt,,,belt,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,30.0,30.0
1351,t-shirt,pan,,belt,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,50.0,45.0
1352,crocodile,,,tortoise,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,60.0,65.0
1353,crocodile,whale,,tortoise,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,50.0,70.0
1354,jeep,,,car,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,100.0,90.0
1355,jeep,apron,,car,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,100.0,70.0
1356,polar bear,,,elephant,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,10.0,50.0
1357,polar bear,stickleback,,elephant,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,50.0,65.0
1358,boa,,,monitor lizard,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,90.0,65.0
1359,boa,anvil,,monitor lizard,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,100.0,55.0
1360,wrench,,,adjustable spanner,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,90.0,90.0
1361,wrench,double barrelled shotgun,,adjustable spanner,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,100.0,85.0
1362,owl,,,vulture,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,90.0,70.0
1363,owl,dungarees,,vulture,Low,Non-Monotonicity (Cross-Category),Giallanza Phenomena,100.0,50.0
1364,cart,,,subway train,High,Non-Monotonicity (Cross-Category),Giallanza Phenomena,60.0,30.0
